340B ID,CE ID,Entity Name,Address 1,City,Zip
STD36081,17642,PIKE COUNTY HEALTH DEPARTMENT,900 SOUTH FRANKLIN DRIVE,TROY,36081
STD360831,4481,MACON COUNTY HEALTH DEPARTMENT,812 HOSPITAL ROAD,TUSKEGEE,36083
STD36089,14295,BULLOCK CO HEALTH DEPT,103 CONECUH AVE W,UNION SPRINGS,36089
STD360922,14104,ELMORE COUNTY HEALTH DEPARTMENT,6501 U. S. HWY 231 N.,WETUMPKA,36092
STD36108,5814,MONTGOMERY COUNTY HEALTH,3060 MOBILE HIGHWAY,MONTGOMERY,36108
STD361309,17908,ALABAMA DEPARTMENT OF PUBLIC HEALTH,201 MONROE STREET SUITE 1440,MONTGOMERY,36130
STD36130A,13483,ALABAMA DEPARTMENT OF PUBLIC HEALTH,CENTRAL PHARMACY OFFICE,MONTGOMERY,36130
STD362010,5694,CALHOUN CO HEALTH DEPT,3400 MCCLELLAN BLVD.,ANNISTON,36201
STD36251,3531,CLAY CO HEALTH DEPT,86892 HIGHWAY 9,LINEVILLE,36266
STD36264,20644,CLEBURNE CO HEALTH DEPT,BROCKFORD RD,HEFLIN,36264
STD362742,9465,RANDOLPH COUNTY HEALTH DEPT,320 MAIN STREET,ROANOKE,36274
STD36301,15112,HOUSTON COUNTY HEALTH DEPT,1781 E. COTTONWOOD RD,DOTHAN,36301
STD36310,781,HENRY COUNTY HEALTH DEPARTMENT,505 KIRKLAND ST,ABBEVILLE,36310
STD36331,4823,COFFEE COUNTY HEALTH DEPT,2841 NEAL METCALF ROAD,ENTERPRISE,36331
STD36340,9698,GENEVA CO HEALTH DEPT,300 COUNTY ROAD 41,HARTFORD,36344
STD36345,12641,HENRY COUNTY HEALTH DEPARTMENT,2 CABLE STREET,HEADLAND,36345
STD36360,13388,DALE COUNTY HEALTH DEPART,532 ROY PARKER ROAD,OZARK,36360
STD36401,10668,CONECUH CO HEALTH DEPT,102 WILD AVENUE,EVERGREEN,36401
STD36420,3591,COVINGTON COUNTY HEALTH DEPT,23989 ALABAMA HWY 55,ANDALUSIA,36420
STD36426,21269,ESCAMBIA COUNTY HEALTH DEPARTMENT,1115 AZALEA PLACE,BREWTON,36426
STD36451,19442,CLARKE CO HEALTH DEPT,22600 HWY. 84 E.,GROVE HILL,36451
STD364611,15188,MONROE COUNTY HEALTH DEPARTMENT,416 AGRICULTURAL DRIVE,MONROEVILLE,36461
STD36467,1280,COVINGTON COUNTY HEALTH DEPT,23989 Alabama,OPP,36420
STD36502,13382,ESCAMBIA COUNTY HEALTH DEPARTMENT,8600 HIGHWAY 31 NORTH,ATMORE,36502
STD36507,1143,BALDWIN CO HEALTH DEPT,212 COURTHOUSE SQUARE,BAY MINETTE,36507
STD36518,20125,WASHINGTON CO HEALTH DEPT,14900 ST. STEPHENS AVEN,CHATOM,36518
STD36567,6687,BALDWIN COUNTY HEALTH DEPT,23280 GILBERT DRIVE,ROBERTSDALE,36567
STD366031,9796,MOBILE COUNTY HEALTH DEPARTMENT,251 NORTH BAYOU ST.,MOBILE,36603
STD366921,2104,LAMAR COUNTY HEALTH DEPARTMENT,300 SPRINGFIELD ROAD,VERNON,35592
STD367021,11941,DALLAS CO HEALTH DEPT,100 SAM MOSELEY DRIVE,SELMA,36701
STD36726,10513,WILCOX CO HEALTH DEPT,107 UNION ST,CAMDEN,36726
STD36744,17797,HALE CO HEALTH DEPT,670 HALL ST,GREENSBORO,36744
STD367481,2473,MARENGO COUNTY HEALTH DEPT,303 INDUSTRIAL DRIVE,LINDEN,36748
STD367561,1498,PERRY COUNTY HEALTH DEPARTMENT,Route 2 Box 4-G,MARION,36756
STD36803,6869,LEE CO HEALTH DEPT,1801 CORPORATE DRIVE,OPELIKA,36803
STD36853,15097,TALLAPOOSA COUNTY HEALTH DEPARTMENT,220 LAFAYETTE ST,DADEVILLE,36853
STD36854,2131,CHAMBERS CO HEALTH DEPT,5 NORTH MEDICAL PARK DRIVE,VALLEY,36854
STD36868,20517,RUSSELL CO HEALTH DEPT,1850 CRAWFORD ROAD,PHENIX CITY,36867
STD36904,20070,CHOCTAW CO HEALTH DEPT,1001 SOUTH MULBERRY AVE.,BUTLER,36904
STD5553,10613,WINSTON COUNTY HEALTH DEPT,110 LEGION ROAD,DOUBLE SPRINGS,35553
